PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
pA2md,8/4pk2/PQ2pnp1/3p4/3P4/2PKPP1p/r7/8 w - - 0 34,b6c7 h3h2 c7h2 a2h2,1282,76,95,12349,advancedPawn crushing endgame master short,https://lichess.org/AGoQqwvO#67,,
YSzK9,5rk1/2Q3rp/p1p4q/P7/1P1B4/2Pb1P2/5RPP/6K1 w - - 0 36,d4g7 h6c1 f2f1 c1f1,1101,76,97,2257,endgame mate mateIn2 short,https://lichess.org/1nbd4p5t#71,,
uJJnm,2rqr1k1/p4ppp/1p3b2/5Q2/3p4/6B1/PPP2PPP/2R1R1K1 b - - 4 23,g7g6 e1e8 d8e8 f5f6,1151,76,85,279,advantage kingsideAttack middlegame short,https://lichess.org/nB3KtFC7/black#46,,
RFSTY,r7/pp2Rp1p/2p5/3k1p2/3Pn3/5KPP/PPP5/R7 w - - 4 22,e7f7 e4g5 f3f4 g5f7,1126,79,76,133,advantage endgame fork short,https://lichess.org/AQPkXwm9#43,,
w2VNw,r3Bbnr/pp4pp/1q2ppk1/3pPb2/Q7/1PP5/P4PPP/RNB1K2R b KQ - 1 13,a8e8 a4e8,724,104,96,853,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/3HAjCpD5/black#26,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation,
BveW6,rnb1k2r/ppp2ppp/8/3pP3/1b5q/2N2Pn1/PPPBP2P/R2QKBNR w KQkq - 0 8,h2g3 h4g3,962,77,73,123,mate mateIn1 oneMove opening,https://lichess.org/9tObLlr4#15,Queens_Pawn_Game Queens_Pawn_Game_Veresov,
zUJGs,4r1k1/pp3pp1/5n1N/8/2P2Q2/1q2P3/6PP/5RK1 b - - 0 34,g8f8 f4d6 e8e7 h6f5,1827,76,92,1995,crushing endgame short,https://lichess.org/qDDDgKK1/black#68,,
2ATyh,4r3/ppp4R/2b2k2/8/3p2N1/1P4P1/P3r2P/1B4K1 b - - 1 38,f6g5 h7g7 g5h5 g4f6 h5h6 g7g6,2032,75,95,6063,endgame fork long mate mateIn3 operaMate vukovicMate,https://lichess.org/uS60XX73/black#76,,
tsMSy,rr6/p3kppQ/1p1qp2p/1Bn4P/2R5/3P4/P4PP1/1R4K1 b - - 14 28,d6d3 h7d3 c5d3 c4c7 e7f8 b5d3,1327,76,97,1477,advantage discoveredAttack long middlegame,https://lichess.org/zAvSjCTD/black#56,,
gQBxc,r1bq1b1r/pppk1B1p/2n2p2/3Q4/4p3/2N5/PPP2PPP/R3K1NR b KQ - 0 12,f8d6 d5e6,945,76,100,438,mate mateIn1 oneMove opening,https://lichess.org/0D6uGWPM/black#24,Dutch_Defense Dutch_Defense_Staunton_Gambit,
PCf12,r5k1/pp3ppp/2q5/2br4/2P2B2/P2P2P1/1P5P/R2Q3K w - - 0 21,c4d5 c6d5 d1f3 d5f3,1200,154,44,7,endgame mate mateIn2 short,https://lichess.org/pHOfR8Jo#41,,
M7Xj6,4r1k1/1p2pp1p/pNp1n1p1/5b2/2PQ4/1P3BP1/P1q1PP1P/3R2K1 w - - 8 22,d4d7 e8d8 d7d8 e6d8,1457,77,92,7694,advantage master middlegame short,https://lichess.org/BJ6oHhbF#43,,
ZhZK6,5Q2/1bR5/pk2p2p/1p2P1p1/2q1p3/2P5/PP1r2PP/7K w - - 0 30,c7c4 d2d1 f8f1 d1f1,592,100,90,1519,backRankMate endgame mate mateIn2 short,https://lichess.org/KDp6E3Z6#59,,
YVcts,r1bk3r/ppNpnppp/5q2/4n3/3QP3/8/PPP2PPP/R1B1KB1R w KQ - 1 9,c7a8 e5f3 g2f3 f6d4,1134,75,89,768,advantage discoveredAttack middlegame short,https://lichess.org/lr6jW1ys#17,Three_Knights_Opening Three_Knights_Opening_Other_variations,
X7U65,r3k1nr/pp3ppp/2n1p1b1/3pP3/Qb1P2Pq/5P1N/PP2K2P/RNB2B1R w kq - 4 11,c1g5 h4e1,936,81,91,566,mate mateIn1 middlegame oneMove,https://lichess.org/QqWFSHhM#21,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,
30oCI,r3Q1k1/ppp2p1p/6p1/3b1n2/7q/3B3P/PBP2PP1/4R1K1 b - - 3 21,a8e8 e1e8,533,106,73,69,kingsideAttack mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/QMvt16Py/black#42,,
niAPK,6k1/6pp/8/p3P3/1np1R3/B1P3P1/r7/6K1 w - - 2 34,a3b4 a5b4 e4c4 b4b3 e5e6 g8f8 c4b4 b3b2,2012,104,56,16,advancedPawn crushing endgame veryLong,https://lichess.org/uneGLEH5#67,,
